itemCode	batchNum	warehouseCode	dateStamp	timeStamp	sapRefNo	quantity
LBUN0589AG01	238683007	GR052SW	2023-12-02	1600	680926728	1
LBUN0589AG01	238683008	GR052SW	2023-12-02	1600	680926728	1
LBUN0589AG01	238683009	GR052SW	2023-12-02	1600	680926728	1
LBUN0589AG01	238683010	GR052SW	2023-12-02	1600	680926728	1
LBUN0707AG01	238682001	GR052SW	2023-12-02	1600	680926729	1
LBUN0707AG01	238682002	GR052SW	2023-12-02	1600	680926729	1
LBUN0707AG01	238682003	GR052SW	2023-12-02	1600	680926729	1
LBUN0707AG01	238682004	GR052SW	2023-12-02	1600	680926729	1
LBUN0707AG01	238682005	GR052SW	2023-12-02	1600	680926729	1
LBUN0707AG01	238682006	GR052SW	2023-12-02	1600	680926729	1
LBUN0707AG01	238682007	GR052SW	2023-12-02	1600	680926729	1
LBUN0707AG01	238682008	GR052SW	2023-12-02	1600	680926729	1
LBUN0707AG01	238682009	GR052SW	2023-12-02	1600	680926729	1
LBUN0707AG01	238682010	GR052SW	2023-12-02	1600	680926729	1
LBUN0356JJ01	238628001	GR052SW	2023-12-02	1600	680926729	1
LBUN0356JJ01	238628002	GR052SW	2023-12-02	1600	680926729	1
LBUN0356JJ01	238628003	GR052SW	2023-12-02	1600	680926729	1
LBUN0356JJ01	238628004	GR052SW	2023-12-02	1600	680926729	1
LBUN0356JJ01	238628005	GR052SW	2023-12-02	1600	680926729	1
LBUN0356JJ01	238628006	GR052SW	2023-12-02	1600	680926729	1
LBUN0356JJ01	238628007	GR052SW	2023-12-02	1600	680926729	1
LBUN0356JJ01	238628008	GR052SW	2023-12-02	1600	680926729	1
LBUN0356JJ01	238628009	GR052SW	2023-12-02	1600	680926729	1
LBUN0356JJ01	238628010	GR052SW	2023-12-02	1600	680926729	1
LBUN0356JJ01	238628011	GR052SW	2023-12-02	1600	680926729	1
LBUN0356JJ01	238628012	GR052SW	2023-12-02	1600	680926729	1
LBUN0356JJ01	238628013	GR052SW	2023-12-02	1600	680926729	1
LBUN0356JJ01	238628014	GR052SW	2023-12-02	1600	680926729	1
LBUN0356JJ01	238628015	GR052SW	2023-12-02	1600	680926729	1
LBUN0356JJ01	238628016	GR052SW	2023-12-02	1600	680926729	1
LBUN0356JJ01	238628017	GR052SW	2023-12-02	1600	680926729	1
LBUN0356JJ01	238628018	GR052SW	2023-12-02	1600	680926729	1
LBUN0356JJ01	238628019	GR052SW	2023-12-02	1600	680926729	1
LBUN0356JJ01	238628020	GR052SW	2023-12-02	1600	680926729	1
LBUN0652JJ01	231249015	GR052SW	2023-12-02	1600	680926729	1
LBUN0652JJ01	231249017	GR052SW	2023-12-02	1600	680926729	1
LBUN0652JJ01	231249018	GR052SW	2023-12-02	1600	680926729	1
LBUN0652JJ01	231249019	GR052SW	2023-12-02	1600	680926729	1
LBUN0652JJ01	231249020	GR052SW	2023-12-02	1600	680926729	1
LBUN0373JJ01	238629001	GR052SW	2023-12-02	1600	680926729	1
LBUN0373JJ01	238629002	GR052SW	2023-12-02	1600	680926729	1
LBUN0373JJ01	238629003	GR052SW	2023-12-02	1600	680926729	1
LBUN0373JJ01	238629004	GR052SW	2023-12-02	1600	680926729	1
LBUN0373JJ01	238629006	GR052SW	2023-12-02	1600	680926729	1
SIUN04913KL01	238693009	GR052SW	2023-12-02	1600	680926729	1
MTUN0280IA01	238655001	GR052SW	2023-12-02	1600	680926729	1
MTUN0280IA01	238655002	GR052SW	2023-12-02	1600	680926729	1
MTUN0280IA01	238655003	GR052SW	2023-12-02	1600	680926729	1
MTUN0280IA01	238655004	GR052SW	2023-12-02	1600	680926729	1
MTUN0280IA01	238655005	GR052SW	2023-12-02	1600	680926729	1
MTUN0271IA01	238654001	GR052SW	2023-12-02	1600	680926729	1
MTUN0271IA01	238654002	GR052SW	2023-12-02	1600	680926729	1
MTUN0271IA01	238654003	GR052SW	2023-12-02	1600	680926729	1
MTUN0271IA01	238654004	GR052SW	2023-12-02	1600	680926729	1
MTUN0271IA01	238654005	GR052SW	2023-12-02	1600	680926729	1
MTUN0271IA01	238654006	GR052SW	2023-12-02	1600	680926729	1
GTUN0115AG01	238463005	GR052SW	2023-12-02	1600	680926730	1
GTUN0115AG01	238463006	GR052SW	2023-12-02	1600	680926730	1
GTUN0115AG01	238463007	GR052SW	2023-12-02	1600	680926730	1
GTUN0115AG01	238463008	GR052SW	2023-12-02	1600	680926730	1
GTUN0115AG01	238463010	GR052SW	2023-12-02	1600	680926730	1
GTUN0115AG01	238463012	GR052SW	2023-12-02	1600	680926730	1
GTUN0115AG01	238463014	GR052SW	2023-12-02	1600	680926730	1
GTUN0115AG01	238463020	GR052SW	2023-12-02	1600	680926730	1
GTUN0115AG01	238463023	GR052SW	2023-12-02	1600	680926730	1
GTUN0115AG01	238463028	GR052SW	2023-12-02	1600	680926730	1
GTUN0115AG01	238463038	GR052SW	2023-12-02	1600	680926730	1
ORMI0415GW01	234179001	GR052SW	2023-12-02	1600	680926731	1
ORMI0415GW01	234179004	GR052SW	2023-12-02	1600	680926731	1
ORMI0415GW01	234179006	GR052SW	2023-12-02	1600	680926731	1
ORIS0413GW01	234222009	GR052SW	2023-12-02	1600	680926731	1
ORIS0413GW01	234222026	GR052SW	2023-12-02	1600	680926731	1
OBTO0201TS01	226642024	GR052SW	2023-12-02	1600	680926732	1
OBTO0201TS01	226642025	GR052SW	2023-12-02	1600	680926732	1
OBTO0201TS01	226642026	GR052SW	2023-12-02	1600	680926732	1
SCTO0748BK01	BK01120	GR052SW	2023-12-02	1600	680926733	1
MNUN0121DI01	GR010	GR052SW	2023-12-02	1600	680926733	3
CLUN0103AG01	237666001	GR052SW	2023-12-02	1600	680926733	1
ASUN0788ZA01	235363003	GR052SW	2023-12-02	1600	680926733	1
ASUN0788ZA01	235363009	GR052SW	2023-12-02	1600	680926733	1
ASUN0788ZA01	235363010	GR052SW	2023-12-02	1600	680926733	1
ASUN0788ZA01	235363015	GR052SW	2023-12-02	1600	680926733	1
ASUN0788ZA01	235363016	GR052SW	2023-12-02	1600	680926733	1
ASUN0786ZA01	238322010	GR052SW	2023-12-02	1600	680926733	1
LFHO1003AW01	GR010	GR052SW	2023-12-02	1600	680926733	1
CSUN0313AW01	237586003	GR052SW	2023-12-02	1600	680926734	1
CSUN0313AW01	237586028	GR052SW	2023-12-02	1600	680926734	1
CSUN0313AW01	237586030	GR052SW	2023-12-02	1600	680926734	1
CSUN0313AW01	237586032	GR052SW	2023-12-02	1600	680926734	1
CSUN0313AW01	237586038	GR052SW	2023-12-02	1600	680926734	1
CSUN0313AW01	237586088	GR052SW	2023-12-02	1600	680926734	1
CSUN0313AW01	237586089	GR052SW	2023-12-02	1600	680926734	1
CSUN0313AW01	237586091	GR052SW	2023-12-02	1600	680926734	1
CSUN0313AW01	237586110	GR052SW	2023-12-02	1600	680926734	1
CSUN0313AW01	237586111	GR052SW	2023-12-02	1600	680926734	1
CCUN0104PM01	237780025	GR052SW	2023-12-02	1600	680926734	1
CCUN0104PM01	237780026	GR052SW	2023-12-02	1600	680926734	1
CCUN0104PM01	237780027	GR052SW	2023-12-02	1600	680926734	1
CCUN0104PM01	237780028	GR052SW	2023-12-02	1600	680926734	1
CCUN0104PM01	237780029	GR052SW	2023-12-02	1600	680926734	1
CCUN0104PM01	237780030	GR052SW	2023-12-02	1600	680926734	1
CCUN0104PM01	237780031	GR052SW	2023-12-02	1600	680926734	1
CCUN0104PM01	237780032	GR052SW	2023-12-02	1600	680926734	1
CCUN0104PM01	237780033	GR052SW	2023-12-02	1600	680926734	1
CCUN0104PM01	237780034	GR052SW	2023-12-02	1600	680926734	1
CCUN0104PM01	237780035	GR052SW	2023-12-02	1600	680926734	1
CCUN0104PM01	237780036	GR052SW	2023-12-02	1600	680926734	1
CWUN0505JO01	237825176	GR052SW	2023-12-02	1600	680926734	1
CWUN0505JO01	237825190	GR052SW	2023-12-02	1600	680926734	1
CWUN0505JO01	238520034	GR052SW	2023-12-02	1600	680926734	1
CWUN0505JO01	238520041	GR052SW	2023-12-02	1600	680926734	1
CWUN0505JO01	238520080	GR052SW	2023-12-02	1600	680926734	1
CWUN0505JO01	238520088	GR052SW	2023-12-02	1600	680926734	1
CWUN0505JO01	238520109	GR052SW	2023-12-02	1600	680926734	1
CWUN0505JO01	238520115	GR052SW	2023-12-02	1600	680926734	1
CWUN0505JO01	238520118	GR052SW	2023-12-02	1600	680926734	1
CWUN0505JO01	238520121	GR052SW	2023-12-02	1600	680926734	1
CWUN0503AW01	238245025	GR052SW	2023-12-02	1600	680926734	1
CWUN0503AW01	238245032	GR052SW	2023-12-02	1600	680926734	1
CWUN0503AW01	238245033	GR052SW	2023-12-02	1600	680926734	1
CWUN0503AW01	238245037	GR052SW	2023-12-02	1600	680926734	1
CWUN0503AW01	238245038	GR052SW	2023-12-02	1600	680926734	1
CWUN0503AW01	238245039	GR052SW	2023-12-02	1600	680926734	1
CWUN0503AW01	238245043	GR052SW	2023-12-02	1600	680926734	1
CWUN0503AW01	238245044	GR052SW	2023-12-02	1600	680926734	1
CWUN0503AW01	238245045	GR052SW	2023-12-02	1600	680926734	1
CWUN0503AW01	238245046	GR052SW	2023-12-02	1600	680926734	1
MVUN0508FD02	236988246	GR052SW	2023-12-02	1600	680926734	1
MVUN0508FD02	236988247	GR052SW	2023-12-02	1600	680926734	1
MVUN0508FD02	236988248	GR052SW	2023-12-02	1600	680926734	1
MVUN0508FD02	236988249	GR052SW	2023-12-02	1600	680926734	1
MVUN0508FD02	236988250	GR052SW	2023-12-02	1600	680926734	1
MVUN0508FD02	236988276	GR052SW	2023-12-02	1600	680926734	1
MVUN0508FD02	236988277	GR052SW	2023-12-02	1600	680926734	1
MVUN0508FD02	236988278	GR052SW	2023-12-02	1600	680926734	1
MVUN0508FD02	236988279	GR052SW	2023-12-02	1600	680926734	1
MVUN0508FD02	236988280	GR052SW	2023-12-02	1600	680926734	1
